Date,Gold_IDR_gram,USDIDR,IHSG
2015-01-02,472440.07909077755,12390.0,5242.56494140625
2015-01-05,483054.0712359541,12480.0,5219.7919921875
2015-01-06,494917.39246242633,12625.0,5168.8583984375
2015-01-07,491775.2243808034,12635.0,5206.9150390625
2015-01-08,494183.87996678427,12720.0,5211.625
2015-01-09,492991.463983153,12610.0,5216.4619140625
2015-01-12,497978.51966738823,12565.0,5187.7314453125
2015-01-13,498347.1317756392,12558.0,5214.15576171875
2015-01-14,499538.4155255777,12587.0,5159.46728515625
2015-01-15,510499.0720325009,12555.0,5188.51025390625
2015-01-16,511893.07969903527,12469.0,5148.1787109375
2015-01-19,511893.07969903527,12580.0,5151.892578125
2015-01-20,525527.5253042514,12630.0,5165.888671875
2015-01-21,522496.14309068414,12562.0,5215.06298828125
2015-01-22,521266.8957306227,12465.0,5252.978515625
2015-01-23,515527.2781887426,12405.0,5323.67724609375
2015-01-26,511003.1508767791,12423.0,5259.81884765625
2015-01-27,518573.7068266659,12487.0,5276.94384765625
2015-01-28,514715.5562542826,12450.0,5268.64697265625
2015-01-29,502388.56385689235,12455.0,5262.5126953125
2015-01-30,516686.06426929444,12570.0,5289.19775390625
2015-02-02,522321.4550908409,12730.0,5276.03076171875
2015-02-03,512125.8341526953,12645.0,5291.51171875
2015-02-04,510948.4660573142,12575.0,5315.0771484375
2015-02-05,512249.42530583375,12625.0,5279.689453125
2015-02-06,499336.0749529732,12587.0,5342.30712890625
2015-02-09,503963.4451700196,12633.0,5348.26220703125
2015-02-10,501493.84123316983,12665.0,5321.2666015625
2015-02-11,498793.1583262334,12727.0,5336.3115234375
2015-02-12,502302.96228327777,12805.0,5343.203125
2015-02-13,503557.63820791873,12770.0,5373.95556640625
2015-02-16,503557.63820791873,12677.0,5325.28759765625
2015-02-17,489982.8376876107,12615.0,5337.29345703125
2015-02-18,492631.62590599735,12772.0,5390.23974609375
2015-02-19,497145.0379300033,12810.0,5390.23974609375
2015-02-20,498937.2358279677,12885.0,5399.8935546875
2015-02-23,494460.25449337746,12813.0,5403.06640625
2015-02-24,494868.24035767175,12860.0,5417.103515625
2015-02-25,494130.7891394859,12797.0,5444.89599609375
2015-02-26,499924.69291742815,12855.0,5451.2099609375
2015-02-27,501242.55746486405,12857.0,5450.08203125
2015-03-02,503915.3139135015,12978.0,5477.61767578125
2015-03-03,503029.5625894192,12995.0,5474.40576171875
2015-03-04,500644.0330943337,12970.0,5447.84716796875
2015-03-05,500414.38480392954,13015.0,5450.73486328125
2015-03-06,482803.8543912612,12900.0,5514.57275390625
2015-03-09,488632.8650510468,13030.0,5444.421875
2015-03-10,487597.44018631213,13073.0,5462.7158203125
2015-03-11,483535.56229416,13070.0,5419.35498046875
2015-03-12,488013.1553794501,13175.0,5439.6201171875
2015-03-13,488039.6636541481,13170.0,5426.2548828125
2015-03-16,488892.28362720687,13185.0,5435.05908203125
2015-03-17,487141.93400379724,13195.0,5438.94091796875
2015-03-18,485680.6571708168,13120.0,5412.9404296875
2015-03-19,484125.8278183123,12880.0,5453.64208984375
2015-03-20,497407.6562958399,13058.0,5442.85302734375
2015-03-23,497490.63610204635,13025.0,5436.88623046875
2015-03-24,495898.2901608365,12943.0,5447.43603515625
2015-03-25,496765.8665464322,12905.0,5405.2783203125
2015-03-26,500970.71661794244,12930.0,5368.59033203125
2015-03-27,501853.4452795957,13010.0,5396.64404296875
2015-03-30,496531.53620893497,13035.0,5438.44384765625
2015-03-31,497797.0125707128,13087.0,5518.4599609375
2015-04-01,507267.2104796033,13060.0,5466.65478515625
2015-04-02,500305.8342745164,12958.0,5456.18701171875
2015-04-03,500305.8342745164,12985.0,5456.18701171875
2015-04-06,507954.0464408082,12965.0,5479.8173828125
2015-04-07,503840.94021444407,12945.0,5523.07470703125
2015-04-08,502653.5336132351,12995.0,5486.3701171875
2015-04-09,495998.189414318,12925.0,5500.68603515625
2015-04-10,500956.50599463406,12935.0,5491.1259765625
2015-04-13,497017.3012488797,12890.0,5447.197265625
2015-04-14,500267.70739508065,13045.0,5418.89599609375
2015-04-15,501212.4841255807,12975.0,5414.33642578125
2015-04-16,496748.1473146109,12897.0,5420.52197265625
2015-04-17,495802.02591310564,12820.0,5410.43359375
2015-04-20,491160.1588245696,12800.0,5400.5927734375
2015-04-21,501603.1416609189,12970.0,5460.36083984375
2015-04-22,493214.0375054819,12925.0,5436.9072265625
2015-04-23,495370.6275802211,12900.0,5435.9970703125
2015-04-24,488541.0120614189,12930.0,5435.14306640625
2015-04-27,500686.7147405788,12942.0,5245.24169921875
2015-04-28,504553.4425386211,12927.0,5241.95361328125
2015-04-29,503119.0583565128,12935.0,5105.36376953125
2015-04-30,490963.9209512632,12915.0,5086.22705078125
2015-05-01,489269.58380889613,12957.0,5086.22705078125
2015-05-04,495080.3167985893,12975.0,5140.93701171875
2015-05-05,493338.41439292405,12860.0,5160.107421875
2015-05-06,497688.43168806616,13005.0,5184.74853515625
2015-05-07,494347.2573016049,13004.0,5150.28564453125
2015-05-08,500627.39499727846,13095.0,5182.01123046875
2015-05-11,496317.448613161,13047.0,5172.2802734375
2015-05-12,504976.66431323794,13170.0,5205.4091796875
2015-05-13,514921.7393837623,13145.0,5245.9287109375
2015-05-14,516185.99578417366,13102.0,5245.9287109375
2015-05-15,512721.446139502,13013.0,5226.892578125
2015-05-18,515025.8728779895,13047.0,5237.607421875
2015-05-19,510721.24106090603,13162.0,5269.166015625
2015-05-20,511800.7787382248,13168.0,5292.54296875
2015-05-21,503971.1388669771,13015.0,5313.0009765625
2015-05-22,507530.1827781138,13108.0,5314.94580078125
2015-05-25,507530.1827781138,13140.0,5288.15576171875
2015-05-26,502804.66689559404,13173.0,5320.693359375
2015-05-27,503931.73188485747,13217.0,5253.18359375
2015-05-28,503071.25173909037,13170.0,5237.197265625
2015-05-29,503430.5245844079,13165.0,5216.17578125
2015-06-01,504302.10891157744,13200.0,5213.61279296875
2015-06-02,506302.84302497614,13188.0,5213.61279296875
2015-06-03,500869.81715595216,13150.0,5130.29931640625
2015-06-04,499748.4952818187,13230.0,5095.62255859375
2015-06-05,498418.04453496746,13275.0,5100.373046875
2015-06-08,504984.99996106746,13388.0,5014.79736328125
2015-06-09,503797.43919180613,13310.0,4899.69140625
2015-06-10,508897.846679452,13345.0,4933.365234375
2015-06-11,500926.89962183347,13205.0,4928.62060546875
2015-06-12,501407.386499786,13230.0,4935.625
2015-06-15,507411.3893981861,13315.0,4837.60546875
2015-06-16,505546.3211535679,13320.0,4872.4091796875
2015-06-17,504546.9585636213,13340.0,4945.56005859375
2015-06-18,514925.8122076294,13330.0,4945.30615234375
2015-06-19,513380.6484800746,13290.0,4984.81201171875
2015-06-22,506536.124555039,13310.0,4959.05859375
2015-06-23,503024.15324604244,13302.0,4937.4560546875
2015-06-24,499524.158905386,13250.0,4953.3232421875
2015-06-25,500562.1553844423,13290.0,4919.8505859375
